company_name,high,low,last_price,prev_close,change,percent_gain
Kotak Mahindra,"1,912.85","1,852.90","1,886.10","1,841.75",44.35,2.41
Titan Company,"2,525.00","2,452.00","2,495.70","2,450.10",45.6,1.86
IndusInd Bank,960.80,943.15,950.70,939.10,11.6,1.24
TATA Cons. Prod,731.20,714.10,723.25,715.20,8.05,1.13
Maruti Suzuki,"8,789.95","8,655.20","8,698.85","8,622.80",76.05,0.88
Shree Cements,"24,799.35","24,146.00","24,603.45","24,393.70",209.75,0.86
Bharti Airtel,708.95,699.50,704.40,699.25,5.15,0.74
Britannia,"3,530.00","3,470.00","3,511.15","3,489.75",21.4,0.61
Wipro,570.90,562.65,567.10,564.15,2.95,0.52
BPCL,360.80,356.20,357.10,355.30,1.8,0.51
ITC,217.50,215.05,215.95,214.85,1.1,0.51
Infosys,"1,758.25","1,733.40","1,742.85","1,734.35",8.5,0.49
Hindalco,523.25,515.65,518.70,516.20,2.5,0.48
Bajaj Finance,"7,117.35","7,027.45","7,044.55","7,011.35",33.2,0.47
UltraTechCement,"6,866.00","6,735.00","6,780.20","6,749.55",30.65,0.45
Asian Paints,"3,296.90","3,230.00","3,237.20","3,227.15",10.05,0.31
HCL Tech,"1,159.00","1,148.05","1,153.00","1,149.55",3.45,0.3
Cipla,921.30,910.25,914.90,913.40,1.5,0.16
Adani Ports,719.40,705.00,706.70,705.55,1.15,0.16
SBI Life Insura,"1,114.95","1,098.70","1,101.75","1,100.95",0.8,0.07
SBI,505.35,497.25,498.70,498.40,0.3,0.06
Tech Mahindra,"1,424.95","1,409.20","1,413.30","1,412.55",0.75,0.05
IOC,118.30,116.50,117.15,117.10,0.05,0.04
Tata Steel,"1,152.60","1,134.00","1,139.00","1,138.70",0.3,0.03
